实验,取值,J,相对%
η,0.8,38223.65161906145,8.815747322601242
η,0.9,35126.948589289634,0.0
η,1.0,32377.088240581663,-7.828349626549736
Pmax_kW,3000.0,35788.44007000732,1.883145298078559
Pmax_kW,5000.0,35126.948589289634,0.0
Pmax_kW,8000.0,35011.951550283455,-0.32737554391856216
Emax,6000.0,40058.77101247512,14.039996701248402
Emax,10800.0,35126.948589289634,0.0
Emax,14000.0,33054.23891689129,-5.900625461758214
